Song,Artist
Moon Song,Norah Jones
Mother,John Lennon
Never too Much,Luther Vandross
"New York, New York",Frank Sinatra
Nightmare,Avenged Sevenfold
Nothing Compares 2 U,Sinéad O'Connor
Ode to my Family,Cranberries
On An Ocean,Lisa Gerrard
Paint the Sky with Stars,Enya
Penny Lane,Beatles
Love is in the air,John Paul Young
Quiet,Rachael Yamagata
Quiet Nights,Diana Krall
Rainy Day Lament,Joe Purdy
Sacrifice,Sinéad O'Connor
Serial Killer,Vio-Lence
Single Ladies,Beyonce
Song for a Blue Guitar,Red House Painters
Spill Your Blood,Mr. Hyde
Staying Alive,Bee Gees
Sunrise,Norah Jones
Sweet Harmony,The Beloved
Take my Scars,Machine Head
Thank you Stars,Kate Melua
Drive,Cars
The Bleeding,Five Finger Deadth Punch
The Boy from Ipanema,Diana Krall
The Enemy Inside,Dream Theater
Angel,Sarah McLachlan
Another Lonely Day,Ben Harper
Those Sweet Words,Norah Jones
Twist and Shout,Beatles
Two Miniutes to Midnight,Iron Maiden
Uptown Girl,Billie Joel
War,Bruce Springsteen
War Pigs,Black Sabbath
We are the Champions,Queen
What a Feeling,Irene Cara
When you came into my life,Scorpions
Winter Wonderland,Louis Armstrong
Wish you were here,Pink Floyd
Yesterday,Beatles
You Don't Bring me Flowers,Barbra Streisand and Neil Diamond
You Should Be Dead,50 Cent
"You're the First, the Last, My Everything",Barry White
What a Worderful World,Louis Armstrong
Country Confort,Rod Stewart
Lately,Stevie Wonder
I'm so lonesome I could cry,Johnny Cash
U Got the Look,Prince
Why do you want him,Green Day
Our Love,Natalie Cole
Animal,Pearl Jam
PS I Love You,Beatles
London Calling,The Clash
Feels_Just_Like_It_Should,Jamiroquai
Gimme Shelter,Rolling Stones
Blue eyes crying in the rain,Willie Nelson
Just the Way You are,Billie Joel
Solitude,Tonny Bennett
California Girls,Beach Boys
Sunday Bloody Sunday,U2
That's what friends are for,Dionne and Fiends
Miss Jamaica,Jimmy Cliff
Last Resort,Papa Roach
Paradise,Sade
Bring Your Whole Crew,DMX
She hates me,Puddle Mudd
I Fucking Hate You,Godsmack
Tears in Heaven,Eric Clapton
White Christmas,John Denver
May it Be,Enya
Orinoco Flow,Enya
Natural Disaster,Anathema
Disappear,Dream Theater
And The Singer sings his song,Neil Diamond
The Eternal,Joy Division
Dancing Queen,ABBA
Yellow Submarine,Beatles
Imagine,John Lennon
Do you wanna dance,Beach Boys
Beautiful Day,Mary J. Blige
Hurt,Johnny Cash
Lonely Boy,Paul Anka
La Isla Bonita,Maddona
Everybody Hurts,REM
Highway to Hell,AC/DC
"Whenever, wherever",Shakira
Can't Stand You,Slayer
Hell's Bells,AC/DC
Strawberry Swing,Coldplay
Angie,Rolling Stones
Born in the USA,Bruce Springsteen
Annie's Song,John Denver
Over the Rainbow,Frank Sinatra
One Last Goodbye,Anathema
Wise up,Aimee Mann
Mad World,Gary Jules
Aces High,Iron Maiden
Albedo 039,Vangelis
All Night Long,Lionel Ritchie
Already Dead,Beck
The Journey of the Angels,Enya
The Lady Of Shalott,Loreena Mckennitt
Ashes,Five Finger Deadth Punch
Brick,Ben Folds Five
Bridge Over Trobled Water,Simon and Garfunkel
Broken Strings,James Morrison
Bullet with your name,Scars of life
Burning Heart,Survivor
Calypso,John Denver
Celebration,Kool and the Gang
China Roses,Enya
"Congratulations, I hate you",Alesana
Creep,Radiohead
Cryin' Like a Bitch,Godsmack
Crying,Don McLean
Dance with my Father,Luthor Vandross
Dying in the Sun,Cranberries
Everybody Dance Now,CC Music Factory
Father Time,Lloyd Banks
Fly me to the Moon,Diana Krall
Fuck the World,Tupac Shakur
Fuck you,Headstones
Fun Fun Fun,Beach Boys
Good Times,Chic
Happy,Pharrel Williams
Hello,Evanescence
Home,Michael Bublé
How could Anyone,Shaina Noll
Hurt,Christina Aguilera
I Feel Good,James Brown
I Feel Love,Donna Summer
I Wanna Dance with Somebody,Whitney Houston
Idiot,Lisa Presley
It's Raining Men,Geri Halliwell
Kiss,Prince
Knife,Rockwell
Let's Dance,David Bowie
Love is where you are,Diana Krall
Lovely Linda,Paul McCartney
Wonderful Christmas Time,Paul McCartney
Wonderful,Aretha Franklin
With or Without you,U2
We are the World,Michael Jackson
Water Song,Amata
Wake me up before you go go,Glee
Twistin' the Night Away,Sam Cooke
The Voice of Enigma,Enigma
The Friendship Song,Carbon Leaf
Suicidal dream,Silverchair
Say Something,A Great Big World
Rockstar,Nickleback
Renegade,Eminem and Jay-Z
Red red wine,Neil Diamond
Prision Song,System of a Down
Platypus,Green Day
Peace Train,Cat Stevens
One People One Land,Monica Brown
Nature Song,Wayne Mason
Midnight Bottle,Colbie Caillat
Lose Yourself,Eminem
Killing in the Name,Rage Against The Machine
It's in the Rain,Enya
I never told you,Colbie Caillat
I am the Earth,Glyn Lehmann
He's The Greatest Dancer,Sister Sledge
Gloomy Sunday,Billie Holliday
Gift of a friend,Demi Lovato
Friends are Quiet Angels,Gloria Sklerov and Barbara Rothstein
For the Love of a Daughter,Demi Lovato
Family is a Family,Skip West
Eye of the Tiger,Survivor
Dead Bodies Everywhere,Korn
When I was your man,Bruno Mars
Dancing In The Street,Martha Reeves And The Vandellas
Christmas Tree,Lady Ga Ga
But Beautiful,Billie Holiday
Amnesia,5 Seconds of Summer
Adam's Song,Blink 182
